source,target,class
Lies and the Lying Liars Who Tell Them,Big Lies,blue
Big Lies,Lies and the Lying Liars Who Tell Them,blue
Lies and the Lying Liars Who Tell Them,Plan of Attack,green
Plan of Attack,Lies and the Lying Liars Who Tell Them,green
Lies and the Lying Liars Who Tell Them,Living History,blue
Living History,Lies and the Lying Liars Who Tell Them,blue
Lies and the Lying Liars Who Tell Them,Bushwhacked,blue
Bushwhacked,Lies and the Lying Liars Who Tell Them,blue
MoveOn's 50 Ways to Love Your Country,American Dynasty,blue
American Dynasty,MoveOn's 50 Ways to Love Your Country,blue
MoveOn's 50 Ways to Love Your Country,The Lies of George W. Bush,blue
The Lies of George W. Bush,MoveOn's 50 Ways to Love Your Country,blue
MoveOn's 50 Ways to Love Your Country,Fanatics and Fools,blue
Fanatics and Fools,MoveOn's 50 Ways to Love Your Country,blue
MoveOn's 50 Ways to Love Your Country,Bushwhacked,blue
Bushwhacked,MoveOn's 50 Ways to Love Your Country,blue
The Buying of the President 2004,The Great Unraveling,blue
The Great Unraveling,The Buying of the President 2004,blue
The Buying of the President 2004,American Dynasty,blue
American Dynasty,The Buying of the President 2004,blue
The Buying of the President 2004,The Lies of George W. Bush,blue
The Lies of George W. Bush,The Buying of the President 2004,blue
The Buying of the President 2004,Bushwhacked,blue
Bushwhacked,The Buying of the President 2004,blue
Perfectly Legal,The Great Unraveling,blue
The Great Unraveling,Perfectly Legal,blue
Perfectly Legal,American Dynasty,blue
American Dynasty,Perfectly Legal,blue
Perfectly Legal,Big Lies,blue
Big Lies,Perfectly Legal,blue
Perfectly Legal,Bushwhacked,blue
Bushwhacked,Perfectly Legal,blue
Perfectly Legal,Lies and the Lying Liars Who Tell Them,blue
Lies and the Lying Liars Who Tell Them,Perfectly Legal,blue
Perfectly Legal,The Buying of the President 2004,blue
The Buying of the President 2004,Perfectly Legal,blue
Hegemony or Survival,The Great Unraveling,blue
The Great Unraveling,Hegemony or Survival,blue
Hegemony or Survival,The Sorrows of Empire,blue
The Sorrows of Empire,Hegemony or Survival,blue
Hegemony or Survival,American Dynasty,blue
American Dynasty,Hegemony or Survival,blue
The Exception to the Rulers,"House of Bush, House of Saud",blue
"House of Bush, House of Saud",The Exception to the Rulers,blue
The Exception to the Rulers,American Dynasty,blue
American Dynasty,The Exception to the Rulers,blue
The Exception to the Rulers,The Lies of George W. Bush,blue
The Lies of George W. Bush,The Exception to the Rulers,blue
The Exception to the Rulers,Worse Than Watergate,blue
Worse Than Watergate,The Exception to the Rulers,blue
The Exception to the Rulers,Bush women,blue
Bush women,The Exception to the Rulers,blue
The Exception to the Rulers,Hegemony or Survival,blue
Hegemony or Survival,The Exception to the Rulers,blue
Freethinkers,American Dynasty,blue
American Dynasty,Freethinkers,blue
Freethinkers,Big Lies,blue
Big Lies,Freethinkers,blue
Freethinkers,Worse Than Watergate,blue
Worse Than Watergate,Freethinkers,blue
Had Enough?,The Price of Loyalty,blue
The Price of Loyalty,Had Enough?,blue
Had Enough?,The Great Unraveling,blue
The Great Unraveling,Had Enough?,blue
Had Enough?,Big Lies,blue
Big Lies,Had Enough?,blue
Had Enough?,Lies and the Lying Liars Who Tell Them,blue
Lies and the Lying Liars Who Tell Them,Had Enough?,blue
"It's Still the Economy, Stupid!",Big Lies,blue
Big Lies,"It's Still the Economy, Stupid!",blue
"It's Still the Economy, Stupid!",Bushwhacked,blue
Bushwhacked,"It's Still the Economy, Stupid!",blue
"It's Still the Economy, Stupid!",Had Enough?,blue
Had Enough?,"It's Still the Economy, Stupid!",blue
We're Right They're Wrong,Rush Limbaugh Is a Big Fat Idiot,blue
Rush Limbaugh Is a Big Fat Idiot,We're Right They're Wrong,blue
We're Right They're Wrong,Big Lies,blue
Big Lies,We're Right They're Wrong,blue
We're Right They're Wrong,"It's Still the Economy, Stupid!",blue
"It's Still the Economy, Stupid!",We're Right They're Wrong,blue
What Liberal Media?,The Great Unraveling,blue
The Great Unraveling,What Liberal Media?,blue
What Liberal Media?,Big Lies,blue
Big Lies,What Liberal Media?,blue
What Liberal Media?,Bushwhacked,blue
Bushwhacked,What Liberal Media?,blue
What Liberal Media?,"It's Still the Economy, Stupid!",blue
"It's Still the Economy, Stupid!",What Liberal Media?,blue
The Clinton Wars,The Great Unraveling,blue
The Great Unraveling,The Clinton Wars,blue
The Clinton Wars,Big Lies,blue
Big Lies,The Clinton Wars,blue
The Clinton Wars,Living History,blue
Living History,The Clinton Wars,blue
The Clinton Wars,Bushwhacked,blue
Bushwhacked,The Clinton Wars,blue
The Clinton Wars,Lies and the Lying Liars Who Tell Them,blue
Lies and the Lying Liars Who Tell Them,The Clinton Wars,blue
The Clinton Wars,What Liberal Media?,blue
What Liberal Media?,The Clinton Wars,blue
Weapons of Mass Deception,Big Lies,blue
Big Lies,Weapons of Mass Deception,blue
Weapons of Mass Deception,The Lies of George W. Bush,blue
The Lies of George W. Bush,Weapons of Mass Deception,blue
Weapons of Mass Deception,MoveOn's 50 Ways to Love Your Country,blue
MoveOn's 50 Ways to Love Your Country,Weapons of Mass Deception,blue
Weapons of Mass Deception,The Exception to the Rulers,blue
The Exception to the Rulers,Weapons of Mass Deception,blue
"Dude, Where's My Country?",The Price of Loyalty,blue
The Price of Loyalty,"Dude, Where's My Country?",blue
"Dude, Where's My Country?",Downsize This!,blue
Downsize This!,"Dude, Where's My Country?",blue
"Dude, Where's My Country?",Stupid White Men,blue
Stupid White Men,"Dude, Where's My Country?",blue
"Dude, Where's My Country?",The Best Democracy Money Can Buy,blue
The Best Democracy Money Can Buy,"Dude, Where's My Country?",blue
"Dude, Where's My Country?",The Culture of Fear,blue
The Culture of Fear,"Dude, Where's My Country?",blue
"Dude, Where's My Country?",The Great Unraveling,blue
The Great Unraveling,"Dude, Where's My Country?",blue
"Dude, Where's My Country?",Big Lies,blue
Big Lies,"Dude, Where's My Country?",blue
"Dude, Where's My Country?",The Lies of George W. Bush,blue
The Lies of George W. Bush,"Dude, Where's My Country?",blue
"Dude, Where's My Country?",Bushwhacked,blue
Bushwhacked,"Dude, Where's My Country?",blue
"Dude, Where's My Country?",Hegemony or Survival,blue
Hegemony or Survival,"Dude, Where's My Country?",blue
"Dude, Where's My Country?",Had Enough?,blue
Had Enough?,"Dude, Where's My Country?",blue
Thieves in High Places,The Best Democracy Money Can Buy,blue
The Best Democracy Money Can Buy,Thieves in High Places,blue
Thieves in High Places,The Great Unraveling,blue
The Great Unraveling,Thieves in High Places,blue
Thieves in High Places,Big Lies,blue
Big Lies,Thieves in High Places,blue
Thieves in High Places,Bush women,blue
Bush women,Thieves in High Places,blue
Thieves in High Places,Fanatics and Fools,blue
Fanatics and Fools,Thieves in High Places,blue
Thieves in High Places,Bushwhacked,blue
Bushwhacked,Thieves in High Places,blue
Thieves in High Places,Lies and the Lying Liars Who Tell Them,blue
Lies and the Lying Liars Who Tell Them,Thieves in High Places,blue
Thieves in High Places,The Exception to the Rulers,blue
The Exception to the Rulers,Thieves in High Places,blue
Thieves in High Places,What Liberal Media?,blue
What Liberal Media?,Thieves in High Places,blue
Thieves in High Places,Weapons of Mass Deception,blue
Weapons of Mass Deception,Thieves in High Places,blue
Thieves in High Places,"Dude, Where's My Country?",blue
"Dude, Where's My Country?",Thieves in High Places,blue
Shrub,Rush Limbaugh Is a Big Fat Idiot,blue
Rush Limbaugh Is a Big Fat Idiot,Shrub,blue
Shrub,Bushwhacked,blue
Bushwhacked,Shrub,blue
Shrub,Lies and the Lying Liars Who Tell Them,blue
Lies and the Lying Liars Who Tell Them,Shrub,blue
Shrub,"It's Still the Economy, Stupid!",blue
"It's Still the Economy, Stupid!",Shrub,blue
Shrub,Thieves in High Places,blue
Thieves in High Places,Shrub,blue
Buck Up Suck Up,Power Plays,green
Power Plays,Buck Up Suck Up,green
Buck Up Suck Up,Had Enough?,blue
Had Enough?,Buck Up Suck Up,blue
Buck Up Suck Up,"It's Still the Economy, Stupid!",blue
"It's Still the Economy, Stupid!",Buck Up Suck Up,blue
Buck Up Suck Up,We're Right They're Wrong,blue
We're Right They're Wrong,Buck Up Suck Up,blue
The Future of Freedom,Rogue Nation,green
Rogue Nation,The Future of Freedom,green
Empire,Rogue Nation,green
Rogue Nation,Empire,green
Empire,Colossus,yellow
Colossus,Empire,yellow
Empire,The Future of Freedom,yellow
The Future of Freedom,Empire,yellow
